data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6217837,120,CAO2590,2590,2019-10-21,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Cameroon),Students (Cameroon),3,Civilians (Cameroon),,7,37,Middle Africa,Cameroon,Littoral,Moungo,Nkongsamba 1,Nkongsamba,4.9547,9.9404,1,Mimi Mefo,New media,"On October 21, 2019, former students of Government High School Ebone attacked the school principal and his daughter in Nkongsamba. The principal was reportedly wounded with a machete.",0,1572313134,CMR
6215462,120,CAO2589,2589,2019-10-20,2019,1,Violence against civilians,Attack,Ambazonian Separatists (Cameroon),,2,Civilians (Cameroon),Police Forces of Cameroon (1982-),7,27,Middle Africa,Cameroon,Nord-Ouest,Mezam,Bamenda 2,Bamenda,5.9333,10.1667,1,Camer.be; Mimi Mefo,New media-National,"On October 20, 2019, Ambazonian Separatists killed and beheaded one police officer in Bamenda, while he was off duty.",1,1572312855,CMR
6159111,120,CAO2588,2588,2019-10-18,2019,1,Violence against civilians,Attack,Ambazonian Separatists (Cameroon),,2,Civilians (Cameroon),Vigilante Group (Cameroon),7,27,Middle Africa,Cameroon,Nord-Ouest,Mezam,Bamenda 2,Bamenda,5.9333,10.1667,1,Mimi Mefo; Cameroon News Agency,New media-National,"On October 18, 2019, suspected Ambazonian Separatists killed a leader of a Vigilante Group in Bamenda (another source: Cameroon News Agency reported 2 killed)",1,1571699181,CMR
6159373,120,CAO2587,2587,2019-10-18,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Mayo Moskota,Mayo Moskota,11.1333,14.0500,2,L'Oeil,New media,"On October 18, 2019, Boko Haram killed one person and abducted 3 others in an attack on Goledje in Mayo Moskota subdivision [unfound location, coded: Mayo Moskota, capital of the subdivision].",1,1571699181,CMR
6159244,120,CAO2585,2585,2019-10-17,2019,1,Protests,Peaceful protest,Protesters (Cameroon),Labour Group (Cameroon),6,,,0,60,Middle Africa,Cameroon,Extreme-Nord,Mayo-Danay,,Yagoua,10.3411,15.2329,1,Camer.be,National,"On October 17, 2019, a group of traders protested in Yagoua, accusing the city's attorney of corruption. [size=no report]",0,1571699181,CMR
6159407,120,CAO2586,2586,2019-10-17,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Cameroon),,3,Civilians (Cameroon),Ambazonian Separatists (Cameroon),7,37,Middle Africa,Cameroon,Nord-Ouest,Menchum,Wum,Wum,6.3833,10.0667,1,Mimi Mefo,New media,"On October 17, 2019, a repentant fighter of the Ambazonian Separtists was killed in Wum, just a day after he officially dropped his arms. There is no clue about his murderers.",1,1571699181,CMR
6159455,120,CAO2584,2584,2019-10-17,2019,1,Violence against civilians,Attack,Military Forces of Chad (1990-),,8,Civilians (Cameroon),,7,78,Middle Africa,Cameroon,Extreme-Nord,Logone-Et-Chari,Blangoua,Blangoua,12.7676,14.5757,2,Sembe TV,New media,"On October 17, 2019, Chadian militaries reportedly killed 2 people in Chewe [unfound location near Blangoua, coded: Blangoua]",2,1571699181,CMR
6159406,120,CAO2583,2583,2019-10-16,2019,1,Violence against civilians,Attack,Ambazonian Separatists (Cameroon),,2,Civilians (Cameroon),Labour Group (Cameroon),7,27,Middle Africa,Cameroon,Sud-Ouest,Fako,Tiko,Tiko,4.0750,9.3600,1,Mimi Mefo,New media,"On October 16, 2019, Ambazonian Separatists reportedly attacked workers of the Cameroon Development Corporation in Tiko, injuring 5 of them and abducting 4. Ambazonian leaders denied having conducted that attack.",0,1571699181,CMR
6159110,120,CAO2581,2581,2019-10-15,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Talkomari,11.0500,13.9667,2,Undisclosed Source; Sembe TV,Local partner-Other,"On October 15, 2019, Boko Karam killed one person in Kassa, near Talkomari [unfound location, coded: Talkomari].",1,1571699181,CMR
6159458,120,CAO2580,2580,2019-10-15,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Kerawa,11.1842,13.9142,1,Sembe TV,New media,"On October 15, 2019, Boko Haram killed one person in Kerawa.",1,1571699181,CMR
6159537,120,CAO2582,2582,2019-10-15,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),Pastoralists (Cameroon),7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Tsanaga,Koza,Nguetchewe,10.9984,13.9415,1,Undisclosed Source,Local partner-Other,"On October 15, 2019, Boko Haram attaked Nguetchewe, injuring 3 young boys and taking away some cattle.",1,1571699181,CMR
6216344,120,CAO2592,2592,2019-10-15,2019,3,Strategic developments,Change to group/activity,Ambazonian Separatists (Cameroon),,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Sud-Ouest,Lebialem,Menji,Menji,5.7131,10.0650,2,All Africa,Regional,"On an unspecified date [coded in the middle of the month: October 15, 2019 at time precision 3], an Ambazonian separatist leader, Lekeahka Oliver, proclaimed himself king of Lebialem [location coded: Menji, capital city of Lebialem district] after chasing out ruling traditional leaders.",0,1572312996,CMR
6159456,120,CAO2579,2579,2019-10-14,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),Pastoralists (Cameroon),7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Tsanaga,Mokolo,Mokolo,10.7424,13.8023,2,Sembe TV,New media,"On October 14, 2019, Boko Haram attacked the village of Goshi [unfound location, coded: Mokolo, the capital of the district of Mayo-Tsanaga], killing one person and taking away a herd of cattle.",1,1571699181,CMR
6159459,120,CAO2578,2578,2019-10-14,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),Labour Group (Cameroon),7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Kolofata,11.1621,14.0115,1,Sembe TV,New media,"On October 14, 2019, Boko Haram attacked to shops in Kolofata. Blood was reportedly found on the place but no dead body.",0,1571699181,CMR
6159372,120,CAO2577,2577,2019-10-13,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Tsanaga,Mokolo,Tourou,10.9370,13.7176,2,L'Oeil,New media,"On October 13, 2019, Boko Haram killed one person in Badahal Gossi [unfound location, coded: Tourou, center of the administrative subdivision of the location]",1,1571699181,CMR
6159374,120,CAO2576,2576,2019-10-13,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Charif-Moussari,11.1053,13.9298,1,L'Oeil,New media,"On October 13, 2019, Boko Haram killed one person in Charif-Moussari.",1,1571699181,CMR
6023700,120,CAO2574,2574,2019-10-12,2019,1,Violence against civilians,Abduction/forced disappearance,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),Vigilante Group (Cameroon),7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Kolofata,11.1621,14.0115,1,Sembe TV,New media,"On October 12, 2019, Boko Haram abducted a member of a Vigilante Group in Kolofata.",0,1571091346,CMR
6023594,120,CAO2573,2573,2019-10-10,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Mora,Mora,11.0485,14.1476,2,L'Oeil,New media,"On October 10, 2019, Boko Haram attacked Galda [unfound location, coded: Mora as the location is known to be in Mora], killing two people and injuring three others.",2,1571091346,CMR
6023654,120,CAO2572,2572,2019-10-09,2019,1,Riots,Violent demonstration,Rioters (Cameroon),,5,Military Forces of Cameroon (1982-) Gendarmerie,Civilians (Cameroon); Noun Communal Group (Cameroon),1,15,Middle Africa,Cameroon,Sud,Dja-et-Lobo,,Sangmelima,2.9333,11.9833,1,Mimi Mefo,New media,"On October 9, 2019, a group of angry youths looted several shops and warehouses belonging to people of Noun origin in Sangmelima, as they claimed that a commercial motorbike driver was killed by a person from Noun. During the protests, the rioters also tried to broke into the Sengmelina gendarmerie post but they were repelled. Some of the people in Sengmelina were reported to have defended themselves against the rioters that cause further violence but details remained unknown.",0,1571091346,CMR
6316702,120,CAO2571,2571,2019-10-08,2019,1,Violence against civilians,Abduction/forced disappearance,Ambazonian Separatists (Cameroon),,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Nord-Ouest,Mezam,Bamenda 2,Bamenda,5.9333,10.1667,1,Xinhua,International,"On October 8, 2019, Ambazonian Separatists abducted 3 people in Bamenda.",0,1572403788,CMR
6023595,120,CAO2570,2570,2019-10-07,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Kerawa,11.1842,13.9142,1,L'Oeil,New media,"On October 7, 2019, Boko Haram attacked the village of Kerawa, killing one woman and injuring two people. Another sources (Sembe TV, Xinhua) reports 2 killed.",1,1571091346,CMR
6023699,120,CAO2569,2569,2019-10-06,2019,1,Strategic developments,Looting/property destruction,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Kolofata,11.1621,14.0115,1,Sembe TV,New media,"On October 6, 2019, Boko Haram attacked Kolofata, looting 5 shops. No fatality reported.",0,1571091346,CMR
6119608,120,CAO2567,2567,2019-10-05,2019,1,Violence against civilians,Attack,Military Forces of Cameroon (1982-),,1,Civilians (Cameroon),,7,17,Middle Africa,Cameroon,Ouest,Bamboutos,Bali,Bali-Nyonga,5.5324,10.1908,2,Mimi Mefo,New media,"On October 5, 2019, Military Forces attacked the village of Sang, in the neighborhood of Bali-Nyonga [unfound location, coded: Bali Nyonga]. No fatality reported.",0,1571164633,CMR
6119671,120,CAO2566,2566,2019-10-05,2019,1,Violence against civilians,Attack,Military Forces of Cameroon (1982-),,1,Civilians (Cameroon),,7,17,Middle Africa,Cameroon,Ouest,Bamboutos,Bali,Bali-Nyonga,5.5324,10.1908,1,Mimi Mefo,New media,"On October 5, 2019, Military Forces attacked the village of Bali-Nyonga, reportedly killing 9 people.",9,1571164633,CMR
6023373,120,CAO2568,2568,2019-10-05,2019,1,Strategic developments,Agreement,Government of Cameroon (1982-),,1,MRC: Movement for Renewal of Cameroon,,3,13,Middle Africa,Cameroon,Centre,Mfoundi,Yaounde 6,Yaounde,3.8667,11.5167,1,AFP,International,"On October 5, 2019, Maurice Kamto the leader of the MRC: Movement for Renewal of Cameroon was released alonside with 100 militants of his party who were detained for taking part in demonstrations against the re-election of Paul Biya in november 2018.",0,1571091345,CMR
6121756,120,CAO2554,2554,2019-10-04,2019,1,Violence against civilians,Abduction/forced disappearance,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Kerawa,11.1842,13.9142,1,Sembe TV,New media,"On October 4, 2019, Boko Haram abducted 20 people in Kerawa. 19 of them were released after an intervention by the Military Forces.",0,1571164635,CMR
6159635,120,CAO2550,2550,2019-10-04,2019,1,Battles,Armed clash,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Military Forces of Cameroon (1982-),,1,12,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Kerawa,11.1842,13.9142,1,Sembe TV,New media,"On October 4, 2019, Military Forces of Cameroon were reported to have conducted an attack on Boko Haram in Kerawa. Boko Haram had kidnapped 20 people previously in the same village. Casuality number not known from the military intervention.",0,1571699413,CMR
6159457,120,CAO2575,2575,2019-10-04,2019,1,Violence against civilians,Abduction/forced disappearance,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Kerawa,11.1842,13.9142,1,Sembe TV,New media,"On October 4, 2019, Boko Haram abducted 20 people in Kerawa. 19 of them were later released during an intervention by the Military Forces (military intervention coded seperately).",0,1571699181,CMR
6017109,120,CAO2551,2551,2019-10-03,2019,1,Strategic developments,Agreement,Government of Cameroon (1982-),,1,Ambazonian Separatists (Cameroon),,2,12,Middle Africa,Cameroon,Centre,Mfoundi,Yaounde 6,Yaounde,3.8667,11.5167,1,Africa 1,Regional,"On October 3, 2019, the President of Cameroon ordered the release of 333 people detained in the context of the conflict in the English-speaking regions. This is an outcome of the Major national dialogue that started in Yaounde on September 30.",0,1570483478,CMR
6074356,120,CAO2563,2563,2019-10-03,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Logone-Et-Chari,Logone-Birni,Blabline,11.9119,15.0097,1,L'Oeil,New media,"On October 3, 2019, Boko Haram and beheaded one villager in Blabline.",1,1571164567,CMR
6315470,120,CAO2565,2565,2019-10-03,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Tsanaga,Mayo Moskota,Mozogo,10.9638,13.9065,1,Xinhua,International,"On October 3, 2019, Boko Haram attacked the village of Mozogo, injuring some villagers.",0,1572403786,CMR
6133263,120,CAO2564,2564,2019-10-03,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Talkomari,11.0500,13.9667,1,Undisclosed Source,Local partner-Other,"On October 3, 2019, Boko Haram attacked the village of Talkomari, killing one person and taking away foods and dressings.",1,1571260123,CMR
6017120,120,CAO2549,2549,2019-09-30,2019,1,Battles,Armed clash,Ambazonian Separatists (Cameroon),,2,Military Forces of Cameroon (1982-) Gendarmerie,,1,12,Middle Africa,Cameroon,Nord-Ouest,Mezam,Bamenda 2,Bamenda,5.9333,10.1667,2,Agence de Presse Africaine,Regional,"On September 30, 2019, Ambazonian Separatists killed one member of the Military Forces Gendarmerie in attack in Bamenjin [unfound location, coded: Bamenda]",1,1570483478,CMR
6017141,120,CAO2561,2561,2019-09-30,2019,1,Violence against civilians,Attack,Ambazonian Separatists (Cameroon),,2,Civilians (Cameroon),Police Forces of Cameroon (1982-) Prison Guards,7,27,Middle Africa,Cameroon,Nord-Ouest,Mezam,Bamenda 2,Bamenda,5.9333,10.1667,1,Camer.be,National,"On September 30, 2019, suspected Ambazonian Separatists killed and beheaded one Prison Guard while off duty in Bamenda.",1,1570483478,CMR
6121737,120,CAO2553,2553,2019-09-30,2019,1,Strategic developments,Looting/property destruction,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Kolofata,11.1621,14.0115,1,Sembe TV,New media,"On September 30, 2019, Boko Haram looted one shop and took away food in Kolofata.",0,1571164635,CMR
6133273,120,CAO2562,2562,2019-09-30,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Kerawa,11.1842,13.9142,2,Undisclosed Source,Local partner-Other,"On September 30, 2019, Boko Haram attacked the village of Dougdje 3 kilometers from Kerawa [unfound location, coded: Kerawa], abducting 2 villagers.",0,1571260123,CMR
6119822,120,CAO2548,2548,2019-09-29,2019,1,Battles,Armed clash,Military Forces of Cameroon (1982-),,1,Ambazonian Separatists (Cameroon),,2,12,Middle Africa,Cameroon,Sud-Ouest,Fako,Muyuka,Muyuka,4.2898,9.4103,2,Mimi Mefo,New media,"On September 29, 2019, Military Forces killed one commander of Ambazonian Separatists in Owe [Unfound location, coded: Muyuka]. Other source (Xinhua) reports 4 other Ambazonian Separatists killed.",1,1571164633,CMR
6119791,120,CAO2560,2560,2019-09-29,2019,1,Violence against civilians,Attack,Military Forces of Cameroon (1982-),,1,Civilians (Cameroon),,7,17,Middle Africa,Cameroon,Sud-Ouest,Manyu,Akwaya,Akwaya,6.3813,9.5108,1,Mimi Mefo,New media,"On September 29, 2019, Military Forces attacked the village of Akwaya. No fatality was reported.",0,1571164633,CMR
6119818,120,CAO2559,2559,2019-09-29,2019,1,Violence against civilians,Attack,Military Forces of Cameroon (1982-),,1,Civilians (Cameroon),,7,17,Middle Africa,Cameroon,Sud-Ouest,Fako,Muyuka,Bafia,4.3557,9.3161,1,Mimi Mefo,New media,"On September 29, 2019, Military Forces raided the village of Bafia in Muyuka, killing one person and injuring 5 others.",1,1571164633,CMR
6119792,120,CAO2558,2558,2019-09-29,2019,1,Violence against civilians,Attack,Military Forces of Cameroon (1982-),,1,Civilians (Cameroon),,7,17,Middle Africa,Cameroon,Sud-Ouest,Meme,Muyuka,Munyenge,4.4050,9.2699,1,Mimi Mefo,New media,"On September 29, 2019, Military Forces raided the village of Munyenge. No fatality was reported. An earlier attack in the week caused fatalities.",0,1571164633,CMR
6133281,120,CAO2552,2552,2019-09-29,2019,1,Strategic developments,Looting/property destruction,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Ganse,11.1543,14.0715,1,Undisclosed Source,Local partner-Other,"On September 29, 2019, Boko Haram attacked the village of Ganse and took away a motorbike. No fatality was reported.",0,1571260123,CMR
6121753,120,CAO2547,2547,2019-09-28,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Tolkomari,11.0813,14.0200,1,Sembe TV,New media,"On September 28, 2019, Boko Haram - Wilayat Gharb Ifriqiyyah attacked the village of Tolkomari, killing one civilian and wounding 3 others.",1,1571164635,CMR
6119745,120,CAO2556,2556,2019-09-28,2019,1,Violence against civilians,Attack,Military Forces of Cameroon (1982-),,1,Civilians (Cameroon),,7,17,Middle Africa,Cameroon,Sud-Ouest,Meme,Kumba 3,Ediki,4.5407,9.4642,1,Mimi Mefo,New media,"On September 28, 2019, Military Forces attacked the village of Ediki, reportedly killing 2 people.",2,1571164633,CMR
6133288,120,CAO2557,2557,2019-09-28,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Talkomari,11.0500,13.9667,2,Undisclosed Source,Local partner-Other,"On September 28, 2019, Boko Haram attacked the village of Satomi, near Talkomari [unfound location, coded: Talkomari]. One person was killed and two others injured.",1,1571260123,CMR
6121747,120,CAO2541,2541,2019-09-27,2019,1,Battles,Armed clash,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Military Forces of Cameroon (1982-),,1,12,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Sandawadjiri,11.1144,13.9339,1,Sembe TV,New media,"On September 27, 2019, the Military Forces of Cameroon repelled an attack of Boko Haram - Wilayat Gharb Ifriqiyyah in Sandawadjiri. No fatality was reported.",0,1571164635,CMR
6119586,120,CAO2555,2555,2019-09-26,2019,2,Violence against civilians,Attack,Military Forces of Cameroon (1982-),,1,Civilians (Cameroon),,7,17,Middle Africa,Cameroon,Sud-Ouest,Meme,Muyuka,Munyenge,4.4050,9.2699,1,Mimi Mefo,New media,"On an unspectified date within the week of September 23-30 [coded: September 26], Military Forces raided the village of Munyenge, killing 5 people and injuring 9 others. A second attack in the village happened on the 29th.",5,1571164633,CMR
6121759,120,CAO2546,2546,2019-09-25,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Kolofata,11.1621,14.0115,2,Sembe TV,New media,"On September 25, 2019, Boko Haram - Wilayat Gharb Ifriqiyyah attacked the locality of Yegoua [unfound location 5 km from Kolofata, coded Kolofata]. Casualities not known. They carried away small ruminants and materials.",0,1571164635,CMR
6127065,120,CAO2540,2540,2019-09-25,2019,1,Battles,Armed clash,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Military Forces of Cameroon (1982-),,1,12,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Kerawa,11.1842,13.9142,2,Telegram,New media,"On September 25, 2019, Boko Haram - Wilayat Gharb Ifriqiyyah attacked the the Military Forces of Cameroon in a mountainous area near Kerawa.",0,1571164642,CMR
6119597,120,CAO2545,2545,2019-09-24,2019,1,Violence against civilians,Attack,Military Forces of Cameroon (1982-),,1,Civilians (Cameroon),,7,17,Middle Africa,Cameroon,Nord-Ouest,Mezam,Bamenda 2,Bafut,6.0833,10.1000,1,Mimi Mefo,New media,"On September 24, 2019, Military Forces of Cameroon reportedly attacked a palace in Bafut, killing one person.",1,1571164633,CMR
6121742,120,CAO2542,2542,2019-09-23,2019,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Cameroon),,3,Civilians (Cameroon),Labour Group (Cameroon),7,37,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Kolofata,11.1621,14.0115,1,Sembe TV,New media,"On September 23, 2019, an Unidentified Armed Group looted a shop in Kolofata. Locals speculate that the looters were Boko Haram, but this has not been confirmed.",0,1571164635,CMR
6133324,120,CAO2543,2543,2019-09-23,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Mayo-Sava,11.0263,13.9715,2,Undisclosed Source,Local partner-Other,"On September 23, 2019, Boko Haram - Wilayat Gharb Ifriqiyyah attacked a house in Niguidiwa [unfound location, coded: Mayo-Sava], killing one and stealing cattle.",1,1571260123,CMR
6133323,120,CAO2539,2539,2019-09-23,2019,1,Violence against civilians,Attack,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Cameroon),,7,27,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Mayo-Sava,11.0263,13.9715,2,Undisclosed Source,Local partner-Other,"On September 23, 2019, Military Forces of Cameroon (1982-) interverned after Boko Haram - Wilayat Gharb Ifriqiyyah attacked a house in Niguidiwa [unfound location, coded: Mayo-Sava].",0,1571260123,CMR
